ingredient,fdc_id,description,data_type,brand_owner,source,nutrient-alanine,nutrient-alcohol,nutrient-alpha-carotene,nutrient-apigenin,nutrient-arginine,nutrient-ash,nutrient-aspartic-acid,nutrient-beta-carotene,nutrient-caffeine,nutrient-calcium,nutrient-calories-energy,nutrient-catechin,nutrient-cholesterol,nutrient-choline,nutrient-copper,nutrient-cryptoxanthin,nutrient-cyanidin,nutrient-cystine,nutrient-delphinidin,nutrient-dietary-fiber,nutrient-epicatechin,nutrient-epicatechin-3-gallate,nutrient-epigallocatechin,nutrient-epigallocatechin-3-gallate,nutrient-eriodictyol,nutrient-fluoride,nutrient-folate-folic-acid,nutrient-gallocatechin,nutrient-glutamic-acid,nutrient-glycemic-index,nutrient-glycemic-load,nutrient-glycine,nutrient-hesperetin,nutrient-histidine,nutrient-inflammation-score,nutrient-iron,nutrient-isoleucine,nutrient-isorhamnetin,nutrient-kaempferol,nutrient-leucine,nutrient-lutein-zeaxanthin,nutrient-luteolin,nutrient-lycopene,nutrient-lysine,nutrient-magnesium,nutrient-malvidin,nutrient-manganese,nutrient-methionine,nutrient-monounsaturated-fat,nutrient-mufa-16-1-palmitoleic,nutrient-mufa-18-1-oleic,nutrient-mufa-20-1,nutrient-mufa-22-1,nutrient-myricetin,nutrient-naringenin,nutrient-net-carbohydrates,nutrient-niacin-b3,nutrient-nutrition-score,nutrient-pelargonidin,nutrient-peonidin,nutrient-percent-calories-from-carbohydrates,nutrient-percent-calories-from-fat,nutrient-percent-calories-from-protein,nutrient-petunidin,nutrient-phenylalanine,nutrient-phosphorus,nutrient-polyunsaturated-fat,nutrient-potassium,nutrient-proline,nutrient-protein,nutrient-pufa-18-2-linoleic,nutrient-pufa-18-3-alpha-linolenic,nutrient-pufa-18-4,nutrient-pufa-20-4-arachidonic,nutrient-pufa-20-5-epa,nutrient-pufa-22-5-dpa,nutrient-pufa-22-6-dha,nutrient-quercetin,nutrient-retinol,nutrient-riboflavin-b2,nutrient-saturated-fat,nutrient-selenium,nutrient-serine,nutrient-sfa-10-0-capric,nutrient-sfa-12-0-lauric,nutrient-sfa-14-0-myristic,nutrient-sfa-16-0-palmitic,nutrient-sfa-18-0-stearic,nutrient-sfa-4-0-butyric,nutrient-sfa-6-0-caproic,nutrient-sfa-8-0-caprylic,nutrient-sodium,nutrient-theaflavin,nutrient-theaflavin-3-3-digallate,nutrient-theaflavin-3-gallate,nutrient-thearubigins,nutrient-theobromine,nutrient-thiamin-b1,nutrient-threonine,nutrient-total-carbohydrates,nutrient-total-fat,nutrient-total-sugars,nutrient-trans-fat,nutrient-tryptophan,nutrient-tyrosine,nutrient-valine,nutrient-vitamin-a-rae,nutrient-vitamin-b12,nutrient-vitamin-b5-pantothenic-acid,nutrient-vitamin-b6,nutrient-vitamin-c-ascorbic-acid,nutrient-vitamin-d,nutrient-vitamin-e-alpha-tocopherol,nutrient-vitamin-k-phylloquinone,nutrient-water,nutrient-zinc
black-eyed peas,170419,"Peas, green, raw",SR Legacy,,search,0.24 g,,,,0.428 g,0.87 g,0.496 g,,,25.0 mg,339.0 kJ,,,28.4 mg,0.176 mg,,,0.032 g,,5.7 g,,,,,,,,,0.741 g,,,0.184 g,,0.107 g,,1.47 mg,0.195 g,,,0.323 g,2477.0 µg,,,0.317 g,33.0 mg,,0.41 mg,0.082 g,0.035 g,,,,,,,,2.09 mg,,,,,,,,0.2 g,108.0 mg,0.187 g,244.0 mg,0.173 g,5.42 g,,,,,,,,,,0.132 mg,0.071 g,1.8 µg,0.181 g,,,,,,,,,5.0 mg,,,,,,0.266 mg,0.203 g,14.45 g,0.4 g,5.67 g,,0.037 g,0.114 g,0.235 g,38.0 µg,,0.104 mg,0.169 mg,40.0 mg,,0.13 mg,24.8 µg,78.86 g,1.24 mg
fresh tomatoes,321360,"Tomatoes, grape, raw",Foundation,,search,,,,,,0.56 g,,,,11.0 mg,113.0 kJ,,,9.8 mg,0.058 mg,,,,,2.1 g,,,,,,,10.0 µg,,,,,,,,,0.33 mg,,,,,,,4100.0 µg,,11.9 mg,,0.121 mg,,,,,,,,,,0.805 mg,,,,,,,,,28.0 mg,,260.0 mg,,0.83 g,,,,,,,,,,0.065 mg,,,,,,,,,,,,6.0 mg,,,,,,0.075 mg,,5.51 g,0.63 g,,,,,,,,,0.06 mg,27.2 mg,,0.98 mg,4.2 µg,92.5 g,0.2 mg
plum tomatoes,321360,"Tomatoes, grape, raw",Foundation,,search,,,,,,0.56 g,,,,11.0 mg,113.0 kJ,,,9.8 mg,0.058 mg,,,,,2.1 g,,,,,,,10.0 µg,,,,,,,,,0.33 mg,,,,,,,4100.0 µg,,11.9 mg,,0.121 mg,,,,,,,,,,0.805 mg,,,,,,,,,28.0 mg,,260.0 mg,,0.83 g,,,,,,,,,,0.065 mg,,,,,,,,,,,,6.0 mg,,,,,,0.075 mg,,5.51 g,0.63 g,,,,,,,,,0.06 mg,27.2 mg,,0.98 mg,4.2 µg,92.5 g,0.2 mg
fresh oregano,2710826,"Corn, sweet, yellow and white kernels,  fresh, raw",Foundation,,search,,,,,,0.645 g,,,,0.6563 mg,72.85765625 kcal,,,,0.0563 mg,,,,,2.428 g,,,,,,,,,,,,,,,,0.3875 mg,,,,,,,,,25.76 mg,,0.1898 mg,,,,,,,,,,1.593 mg,,,,,,,,,75.46 mg,,237.0 mg,,2.789375 g,,,,,,,,,,0.1375 mg,,,,,,,,,,,,,,,,,,0.07875 mg,,14.689625 g,1.626 g,7.372 g,,,,,,,,0.1501 mg,,,,,80.25 g,0.5564 mg
fresh cilantro,2710826,"Corn, sweet, yellow and white kernels,  fresh, raw",Foundation,,search,,,,,,0.645 g,,,,0.6563 mg,72.85765625 kcal,,,,0.0563 mg,,,,,2.428 g,,,,,,,,,,,,,,,,0.3875 mg,,,,,,,,,25.76 mg,,0.1898 mg,,,,,,,,,,1.593 mg,,,,,,,,,75.46 mg,,237.0 mg,,2.789375 g,,,,,,,,,,0.1375 mg,,,,,,,,,,,,,,,,,,0.07875 mg,,14.689625 g,1.626 g,7.372 g,,,,,,,,0.1501 mg,,,,,80.25 g,0.5564 mg
fresh tarragon,2710826,"Corn, sweet, yellow and white kernels,  fresh, raw",Foundation,,search,,,,,,0.645 g,,,,0.6563 mg,72.85765625 kcal,,,,0.0563 mg,,,,,2.428 g,,,,,,,,,,,,,,,,0.3875 mg,,,,,,,,,25.76 mg,,0.1898 mg,,,,,,,,,,1.593 mg,,,,,,,,,75.46 mg,,237.0 mg,,2.789375 g,,,,,,,,,,0.1375 mg,,,,,,,,,,,,,,,,,,0.07875 mg,,14.689625 g,1.626 g,7.372 g,,,,,,,,0.1501 mg,,,,,80.25 g,0.5564 mg
cinnamon sticks,167940,"Cinnamon buns, frosted (includes honey buns)",SR Legacy,,search,0.18 g,,,,0.218 g,1.36 g,0.297 g,,,183.0 mg,1890.0 kJ,,5.0 mg,10.6 mg,0.062 mg,,,0.093 g,,1.2 g,,,,,,,53.0 µg,,1.553 g,,,0.172 g,,0.126 g,,1.37 mg,0.226 g,,,0.41 g,6.0 µg,,,0.215 g,14.0 mg,,0.292 mg,0.104 g,8.723 g,,,,,,,,2.404 mg,,,,,,,,0.264 g,131.0 mg,3.676 g,102.0 mg,0.568 g,4.45 g,,,,,,,,,,0.138 mg,12.649 g,13.0 µg,0.273 g,,,,,,,,,305.0 mg,,,,,,0.211 mg,0.176 g,48.6 g,0.072 g,25.7 g,0.295 g,0.068 g,0.189 g,0.255 g,,0.16 µg,0.337 mg,0.038 mg,0.3 mg,,1.15 mg,15.2 µg,18.98 g,0.53 mg
whole nutmeg,2512378,"Buckwheat, whole grain",Foundation,,search,,,,,,1.815 g,,,,13.64 mg,331.6005206 kcal,,,,0.4764 mg,,,,,,,,,,,,,,,,,,,,,2.444 mg,,,,,,,,,203.0 mg,,1.23 mg,,,,,,,,,,5.366 mg,,,,,,,,,373.7 mg,,414.5 mg,,11.06534 g,,,,,,,,,,0.1775 mg,,13.6 µg,,,,,,,,,,,,,,,,0.5388 mg,,71.13066 g,3.039 g,,,,,,,,,0.2776 mg,,,,,12.95 g,2.236 mg
whole cloves,2512378,"Buckwheat, whole grain",Foundation,,search,,,,,,1.815 g,,,,13.64 mg,331.6005206 kcal,,,,0.4764 mg,,,,,,,,,,,,,,,,,,,,,2.444 mg,,,,,,,,,203.0 mg,,1.23 mg,,,,,,,,,,5.366 mg,,,,,,,,,373.7 mg,,414.5 mg,,11.06534 g,,,,,,,,,,0.1775 mg,,13.6 µg,,,,,,,,,,,,,,,,0.5388 mg,,71.13066 g,3.039 g,,,,,,,,,0.2776 mg,,,,,12.95 g,2.236 mg
ground cardamom,2262075,"Flaxseed, ground",Foundation,,search,1.085 g,,,,2.211 g,3.525 g,2.311 g,,,229.9 mg,514.44343 kcal,,,,1.344 mg,,,,,23.13 g,,,,,,,41.45 µg,,4.846 g,,,1.386 g,,0.5138 g,,5.778 mg,0.9375 g,,,1.38 g,,,,0.9325 g,372.1 mg,,2.405 mg,0.4025 g,5.944 g,,,,,,,,3.756 mg,,,,,,,,1.116 g,556.4 mg,24.73 g,793.4 mg,0.8725 g,18.0359 g,,,,,,,,,,,3.281 g,135.9 µg,1.138 g,,,,,,,,,36.74 mg,,,,,,0.5368 mg,0.9313 g,34.3551 g,37.28 g,,,0.3013 g,0.5725 g,1.138 g,,,,0.3926 mg,,,,3.675 µg,6.804 g,4.738 mg
cardamom pods,170919,"Spices, cardamom",SR Legacy,,search,,,,,,5.78 g,,,,383.0 mg,1303.0 kJ,,,,0.383 mg,,,,,28.0 g,,,,,,,,,,,,,,,,13.97 mg,,,,,,,,,229.0 mg,,28.0 mg,,0.87 g,,,,,,,,1.102 mg,,,,,,,,,178.0 mg,0.43 g,1119.0 mg,,10.76 g,,,,,,,,,,0.182 mg,0.68 g,,,,,,,,,,,18.0 mg,,,,,,0.198 mg,,68.47 g,6.7 g,,,,,,,,,0.23 mg,21.0 mg,,,,8.28 g,7.47 mg
ground cumin,2262075,"Flaxseed, ground",Foundation,,search,1.085 g,,,,2.211 g,3.525 g,2.311 g,,,229.9 mg,514.44343 kcal,,,,1.344 mg,,,,,23.13 g,,,,,,,41.45 µg,,4.846 g,,,1.386 g,,0.5138 g,,5.778 mg,0.9375 g,,,1.38 g,,,,0.9325 g,372.1 mg,,2.405 mg,0.4025 g,5.944 g,,,,,,,,3.756 mg,,,,,,,,1.116 g,556.4 mg,24.73 g,793.4 mg,0.8725 g,18.0359 g,,,,,,,,,,,3.281 g,135.9 µg,1.138 g,,,,,,,,,36.74 mg,,,,,,0.5368 mg,0.9313 g,34.3551 g,37.28 g,,,0.3013 g,0.5725 g,1.138 g,,,,0.3926 mg,,,,3.675 µg,6.804 g,4.738 mg
ground coriander,169997,"Coriander (cilantro) leaves, raw",SR Legacy,,search,,,,,,1.47 g,,,,67.0 mg,95.0 kJ,,,12.8 mg,0.225 mg,202.0 µg,,,,2.8 g,,,,,,,,,,,,,,,,1.77 mg,,,,,865.0 µg,,,,26.0 mg,,0.426 mg,,0.275 g,,,,,,,,1.114 mg,,,,,,,,,48.0 mg,0.04 g,521.0 mg,,2.13 g,,,,,,,,,,0.162 mg,0.014 g,0.9 µg,,,,,,,,,,46.0 mg,,,,,,0.067 mg,,3.67 g,0.52 g,0.87 g,,,,,337.0 µg,,0.57 mg,0.149 mg,27.0 mg,,2.5 mg,310.0 µg,92.21 g,0.5 mg
smoked paprika,171329,"Spices, paprika",SR Legacy,,search,0.64 g,,,,0.89 g,7.74 g,2.85 g,,,229.0 mg,1181.0 kJ,,,51.5 mg,0.713 mg,6186.0 µg,,0.23 g,,34.9 g,,,,,,,,,2.26 g,,,0.78 g,,0.25 g,,21.14 mg,0.57 g,,,0.92 g,18944.0 µg,,,0.69 g,178.0 mg,,1.59 mg,0.2 g,1.695 g,,,,,,,,10.06 mg,,,,,,,,0.61 g,314.0 mg,7.766 g,2280.0 mg,2.31 g,14.14 g,,,,,,,,,,1.23 mg,2.14 g,6.3 µg,0.61 g,,,,,,,,,68.0 mg,,,,,,0.33 mg,0.49 g,53.99 g,,10.34 g,,0.07 g,0.38 g,0.75 g,2463.0 µg,,2.51 mg,2.141 mg,0.9 mg,,29.1 mg,80.3 µg,11.24 g,4.33 mg
sweet paprika,175033,"Sweet rolls, cheese",SR Legacy,,search,0.267 g,,,,0.313 g,1.4 g,0.485 g,,,118.0 mg,1506.0 kJ,,76.0 mg,,0.095 mg,,,0.112 g,,1.2 g,,,,,,,12.0 µg,,1.725 g,,,0.221 g,,0.183 g,,0.76 mg,0.319 g,,,0.555 g,,,,0.388 g,19.0 mg,,0.21 mg,0.142 g,9.057 g,,,,,,,,0.83 mg,,,,,,,,0.343 g,98.0 mg,2.032 g,137.0 mg,0.6 g,7.1 g,,,,,,,,,,0.13 mg,6.059 g,11.9 µg,0.374 g,,,,,,,,,357.0 mg,,,,,,0.15 mg,0.262 g,43.7 g,18.3 g,,,0.078 g,0.256 g,0.354 g,,0.3 µg,0.416 mg,0.069 mg,0.2 mg,,,,29.4 g,0.63 mg
hot paprika,172107,"HOT POCKETS, meatballs & mozzarella stuffed sandwich, frozen",SR Legacy,,search,,,,,,2.55 g,,,,181.0 mg,1055.0 kJ,,20.0 mg,36.1 mg,0.086 mg,9.0 µg,,,,2.2 g,,,,,,,44.0 µg,,,,,,,,,2.08 mg,,,,,130.0 µg,,1743.0 µg,,22.0 mg,,0.34 mg,,2.787 g,,,,,,,,2.922 mg,,,,,,,,,186.0 mg,2.611 g,204.0 mg,,9.32 g,,,,,,,,,,0.208 mg,3.93 g,10.0 µg,,,,,,,,,,378.0 mg,,,,,,0.386 mg,,30.68 g,0.051 g,7.73 g,0.156 g,,,,12.0 µg,0.6 µg,0.685 mg,0.061 mg,0.6 mg,0.2 µg,0.69 mg,10.8 µg,47.21 g,0.99 mg
kosher salt,746775,"Salt, table, iodized",Foundation,,search,,,,,,99.0 g,,,,50.0 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032 mg,,,,,,,,,,,,,,,,,,,,,2.0 mg,,,,,,,,,,,,,,,,,,,,,,,,38700.0 mg,,,,,,,,,,,,,,,,,,,,,,,0.42 g,
sea salt,746775,"Salt, table, iodized",Foundation,,search,,,,,,99.0 g,,,,50.0 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032 mg,,,,,,,,,,,,,,,,,,,,,2.0 mg,,,,,,,,,,,,,,,,,,,,,,,,38700.0 mg,,,,,,,,,,,,,,,,,,,,,,,0.42 g,
himalayan pink salt,746775,"Salt, table, iodized",Foundation,,search,,,,,,99.0 g,,,,50.0 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032 mg,,,,,,,,,,,,,,,,,,,,,2.0 mg,,,,,,,,,,,,,,,,,,,,,,,,38700.0 mg,,,,,,,,,,,,,,,,,,,,,,,0.42 g,
flaky sea salt,746775,"Salt, table, iodized",Foundation,,search,,,,,,99.0 g,,,,50.0 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032 mg,,,,,,,,,,,,,,,,,,,,,2.0 mg,,,,,,,,,,,,,,,,,,,,,,,,38700.0 mg,,,,,,,,,,,,,,,,,,,,,,,0.42 g,
black peppercorns,2710825,"Rice, black, unenriched, raw",Foundation,,search,,,,,,1.345 g,,,,14.4 mg,360.53871 kcal,,,,0.2095 mg,,,,,4.179 g,,,,,,,,,,,,,,,,1.116 mg,,,,,,,,,113.4 mg,,3.906 mg,,,,,,,,,,8.278 mg,,,,,,,,,306.7 mg,,255.6 mg,,7.56875 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3188 mg,,77.18825 g,3.438 g,,,,,,,,,0.2024 mg,,,,,10.46 g,1.716 mg
white peppercorns,2258588,"Peppers, bell, green, raw",Foundation,,search,,,,,,0.2806 g,,,,7.496 mg,19.692148 kcal,,,,0.05775 mg,,,,,0.9419 g,,,,,,,22.21 µg,,,,,,,,,0.1861 mg,,,,,,,,,9.004 mg,,0.09991 mg,,,,,,,,,,0.6363 mg,,,,,,,,,16.75 mg,,163.1 mg,,0.715 g,,,,,,,,,,0.08875 mg,,,,,,,,,,,,,,,,,,0.03906 mg,,4.7781 g,0.1063 g,,,,,,,,,0.2468 mg,99.51 mg,,,,94.12 g,0.1256 mg
pink peppercorns,747439,"Beans, Dry, Pink (0% moisture)",Foundation,,search,,,,,,,,,,137.0 mg,,,,,0.947 mg,,,,,4.1 g,,,,,,,,,,,,,,,,5.46 mg,,,,,,,,,164.0 mg,,1.7 mg,,,,,,,,,,,,,,,,,,,491.0 mg,,1490.0 mg,,23.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2 g,,,,,,,,,,,,,,,3.26 mg
szechuan peppercorns,168093,"Salad dressing, peppercorn dressing, commercial, regular",SR Legacy,,search,,,,,,2.0 g,,,,22.0 mg,2360.0 kJ,,49.0 mg,20.6 mg,0.01 mg,1.0 µg,,,,,,,,,,,,,,,,,,,,0.35 mg,,,,,29.0 µg,,,,2.0 mg,,,,14.84 g,,,,,,,,,,,,,,,,,26.0 mg,32.972 g,176.0 mg,,1.2 g,,,,,,,,,10.0 µg,,10.527 g,1.6 µg,,,,,,,,,,1103.0 mg,,,,,,,,3.5 g,61.4 g,2.45 g,,,,,10.0 µg,0.12 µg,,0.07 mg,0.6 mg,0.1 µg,4.23 mg,125.2 µg,31.9 g,0.18 mg
chickpea pasta,2644282,"Chickpeas, (garbanzo beans, bengal gram), dry",Foundation,,search,,,,,,3.319 g,,,,111.1 mg,371.99469 kcal,,,,0.8041 mg,,,,,,,,,,,,,,,,,,,,,5.094 mg,,,,,,,,,134.8 mg,,3.581 mg,,,,,,,,,,,,,,,,,,,353.1 mg,,1074.0 mg,,21.275 g,,,,,,,,,,,,,,,,,,,,,,8.779 mg,,,,,,,,60.358 g,6.274 g,,,,,,,,,,,,,,8.774 g,3.124 mg
lentil pasta,2644283,"Lentils, dry",Foundation,,search,,,,,,2.884 g,,,,61.85 mg,350.9328 kcal,,,,0.8376 mg,,,,,,,,,,,,,,,,,,,,,7.158 mg,,,,,,,,,106.7 mg,,1.569 mg,,,,,,,,,,,,,,,,,,,373.6 mg,,948.9 mg,,23.56875 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.17125 g,1.925 g,,,,,,,,,,,,,,9.451 g,3.863 mg
multigrain bread,167944,"Bread, cheese",SR Legacy,,search,,,,,,2.79 g,,,,90.0 mg,1709.0 kJ,,10.0 mg,8.5 mg,0.086 mg,,,,,2.1 g,,,,,,,75.0 µg,,,,,,,,,2.49 mg,,,,,45.0 µg,,,,17.0 mg,,0.366 mg,,4.339 g,,,,,,,,3.279 mg,,,,,,,,,120.0 mg,9.203 g,84.0 mg,,10.42 g,,,,,,,,,23.0 µg,0.303 mg,6.25 g,19.8 µg,,,,,,,,,,750.0 mg,,,,,,0.433 mg,,44.83 g,20.83 g,2.08 g,,,,,24.0 µg,0.24 µg,0.35 mg,0.048 mg,,0.1 µg,1.49 mg,32.4 µg,21.13 g,0.96 mg
sprouted grain bread,171850,"Bread, wheat, sprouted",SR Legacy,,search,,,,,,2.08 g,,,,,787.0 kJ,,,14.9 mg,0.208 mg,,,,,5.3 g,,,,,,,,,,,,,,,,1.89 mg,,,,,104.0 µg,,,,66.0 mg,,,,,,,,,,,,2.33 mg,,,,,,,,,176.0 mg,,198.0 mg,,13.16 g,,,,,,,,,,0.079 mg,,30.0 µg,,,,,,,,,,474.0 mg,,,,,,0.233 mg,,33.88 g,,2.63 g,,,,,,,,0.193 mg,,,0.34 mg,1.1 µg,50.88 g,1.25 mg
european butter,790508,"Butter, stick, salted",Foundation,,search,0.017 g,,,,0.035 g,,0.043 g,,,21.0 mg,,,235.0 mg,,0.006 mg,8.0 µg,,,,,,,,,,,5.0 µg,,0.08 g,,,0.007 g,,0.012 g,,0.06 mg,0.022 g,,,0.05 g,,,,0.07 g,1.6 mg,,0.005 mg,0.013 g,16.9 g,,,,,,,,,,,,,,,,0.025 g,22.0 mg,2.52 g,23.0 mg,0.06 g,,,,,,,,,,744.0 µg,,45.6 g,,0.037 g,,,,,,,,,524.0 mg,,,,,,,0.025 g,,65.0 g,0.58 g,,0.01 g,0.017 g,0.03 g,758.0 µg,,,,,0.4 µg,,,15.8 g,0.07 mg
raw milk,2685576,"Beets, raw",Foundation,,search,,,,,,1.063 g,,,,13.82 mg,40.965255 kcal,,,,0.1606 mg,,,,,3.119 g,,,,,,,103 µg,,,,,,,,,0.4281 mg,,,,,,,,,21.01 mg,,0.2571 mg,,,,,,,,,,,,,,,,,,,33.65 mg,,341.5 mg,,1.6875 g,,,,,,,,,,,,,,,,,,,,,,111.6 mg,,,,,,,,8.787 g,0.3025 g,5.1015 g,,,,,,,,,4.6 mg,,,,88.16 g,0.3104 mg
mild cheddar,328637,"Cheese, cheddar",Foundation,,search,,,,,,3.67 g,,,,707.0 mg,1710.0 kJ,,100.0 mg,,0.033 mg,,,,,,,,,,,,21.0 µg,,,,,,,,,0.16 mg,,,,,,,,,26.8 mg,,0.026 mg,,7.44 g,,,,,,,,0.052 mg,,,,,,,,,458.0 mg,1.18 g,77.0 mg,,23.3 g,,,,,,,,,316.0 µg,0.441 mg,19.2 g,28.3 µg,,,,,,,,,,654.0 mg,,,,,,0.029 mg,,2.44 g,0.225 g,0.33 g,1.14 g,,,,316.0 µg,1.06 µg,0.413 mg,0.069 mg,,,0.75 mg,2.4 µg,36.6 g,3.67 mg
aged cheddar,328637,"Cheese, cheddar",Foundation,,search,,,,,,3.67 g,,,,707.0 mg,1710.0 kJ,,100.0 mg,,0.033 mg,,,,,,,,,,,,21.0 µg,,,,,,,,,0.16 mg,,,,,,,,,26.8 mg,,0.026 mg,,7.44 g,,,,,,,,0.052 mg,,,,,,,,,458.0 mg,1.18 g,77.0 mg,,23.3 g,,,,,,,,,316.0 µg,0.441 mg,19.2 g,28.3 µg,,,,,,,,,,654.0 mg,,,,,,0.029 mg,,2.44 g,0.225 g,0.33 g,1.14 g,,,,316.0 µg,1.06 µg,0.413 mg,0.069 mg,,,0.75 mg,2.4 µg,36.6 g,3.67 mg
white cheddar,328637,"Cheese, cheddar",Foundation,,search,,,,,,3.67 g,,,,707.0 mg,1710.0 kJ,,100.0 mg,,0.033 mg,,,,,,,,,,,,21.0 µg,,,,,,,,,0.16 mg,,,,,,,,,26.8 mg,,0.026 mg,,7.44 g,,,,,,,,0.052 mg,,,,,,,,,458.0 mg,1.18 g,77.0 mg,,23.3 g,,,,,,,,,316.0 µg,0.441 mg,19.2 g,28.3 µg,,,,,,,,,,654.0 mg,,,,,,0.029 mg,,2.44 g,0.225 g,0.33 g,1.14 g,,,,316.0 µg,1.06 µg,0.413 mg,0.069 mg,,,0.75 mg,2.4 µg,36.6 g,3.67 mg
fresh mozzarella,746766,"Cheese, ricotta, whole milk",Foundation,,search,0.325 g,,,,0.21 g,1.36 g,0.735 g,,,224.0 mg,657.0 kJ,,48.0 mg,,,,,,,,,,,,,,4.0 µg,,1.3 g,,,0.135 g,,0.175 g,,0.1 mg,0.365 g,,,0.785 g,,,,0.655 g,19.7 mg,,,0.17 g,2.56 g,,,,,,,,0.168 mg,,,,,,,,0.27 g,162.0 mg,0.389 g,230.0 mg,0.565 g,7.81 g,,,,,,,,,127.0 µg,0.327 mg,6.97 g,5.5 µg,0.365 g,,,,,,,,,105.0 mg,,,,,,0.043 mg,0.395 g,6.86 g,0.001 g,,0.351 g,0.115 g,0.25 g,0.325 g,127.0 µg,0.78 µg,0.673 mg,0.099 mg,,,0.27 mg,0.6 µg,72.9 g,0.56 mg
parmesan wedge,172206,"Parmesan cheese topping, fat free",SR Legacy,,search,,,,,,6.4 g,,,,800.0 mg,1548.0 kJ,,20.0 mg,15.4 mg,0.02 mg,,,,,,,,,,,,,,,,,,,,,5.0 mg,,,,,,,,,40.0 mg,,,,1.446 g,,,,,,,,0.2 mg,,,,,,,,,700.0 mg,0.186 g,600.0 mg,,40.0 g,,,,,,,,,39.0 µg,0.05 mg,3.11 g,43.3 µg,,,,,,,,,,1150.0 mg,,,,,,0.05 mg,,40.0 g,5.0 g,1.5 g,,,,,40.0 µg,1.1 µg,,0.1 mg,,,0.04 mg,0.4 µg,8.6 g,3.0 mg
parmigiano reggiano,325036,"Cheese, parmesan, grated",Foundation,,search,,,,,,7.15 g,,,,884.0 mg,1760.0 kJ,,87.0 mg,14.1 mg,0.04 mg,,,,,,,,,,,,6.0 µg,,,,,,,,,0.45 mg,,,,,,,,,34.9 mg,,0.066 mg,,6.4 g,,,,,,,,0.078 mg,,,,,,,,,634.0 mg,1.2 g,184.0 mg,,29.6 g,,,,,,,,,228.0 µg,0.345 mg,15.5 g,35.0 µg,,,,,,,,,,1750.0 mg,,,,,,0.027 mg,,12.4 g,0.172 g,0.07 g,0.896 g,,,,228.0 µg,1.35 µg,0.457 mg,0.081 mg,,,0.51 mg,1.7 µg,22.8 g,4.33 mg
olive oil spray,1750351,"Oil, olive, extra light",Foundation,,search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.63 g,,,,,,,,,,,,,,,,,,10.37 g,,,,,,,,,,,,,,15.82 g,,,,,,,,,,,,,,,,,,,,,,0.1156 g,,,,,,,,,,20.88 mg,26.04 µg,,
virgin coconut oil,330458,"Oil, coconut",Foundation,,search,,,,,,0.03 g,,,,1.0 mg,3480.0 kJ,,,,,,,,,,,,,,,,,,,,,,,,,0.05 mg,,,,,,,,,,,,,6.31 g,,,,,,,,,,,,,,,,,,1.7 g,,,,,,,,,,,,,,82.5 g,,,,,,,,,,,,,,,,,,,0.84 g,0.007 g,,0.028 g,,,,,,,,,,0.11 mg,0.6 µg,0.03 g,0.02 mg
refined coconut oil,330458,"Oil, coconut",Foundation,,search,,,,,,0.03 g,,,,1.0 mg,3480.0 kJ,,,,,,,,,,,,,,,,,,,,,,,,,0.05 mg,,,,,,,,,,,,,6.31 g,,,,,,,,,,,,,,,,,,1.7 g,,,,,,,,,,,,,,82.5 g,,,,,,,,,,,,,,,,,,,0.84 g,0.007 g,,0.028 g,,,,,,,,,,0.11 mg,0.6 µg,0.03 g,0.02 mg
