ingredient,fdc_id,description,data_type,brand_owner,source,flag,mapping_status,semantic_match_score,nutritional_similarity_score,reasoning,retry_attempts,search_queries_used,timestamp,nutrient-alanine,nutrient-alcohol,nutrient-alpha-carotene,nutrient-apigenin,nutrient-arginine,nutrient-ash,nutrient-aspartic-acid,nutrient-beta-carotene,nutrient-caffeine,nutrient-calcium,nutrient-calories-energy,nutrient-catechin,nutrient-cholesterol,nutrient-choline,nutrient-copper,nutrient-cryptoxanthin,nutrient-cyanidin,nutrient-cystine,nutrient-delphinidin,nutrient-dietary-fiber,nutrient-epicatechin,nutrient-epicatechin-3-gallate,nutrient-epigallocatechin,nutrient-epigallocatechin-3-gallate,nutrient-eriodictyol,nutrient-fluoride,nutrient-folate-folic-acid,nutrient-gallocatechin,nutrient-glutamic-acid,nutrient-glycemic-index,nutrient-glycemic-load,nutrient-glycine,nutrient-hesperetin,nutrient-histidine,nutrient-inflammation-score,nutrient-iron,nutrient-isoleucine,nutrient-isorhamnetin,nutrient-kaempferol,nutrient-leucine,nutrient-lutein-zeaxanthin,nutrient-luteolin,nutrient-lycopene,nutrient-lysine,nutrient-magnesium,nutrient-malvidin,nutrient-manganese,nutrient-methionine,nutrient-monounsaturated-fat,nutrient-mufa-16-1-palmitoleic,nutrient-mufa-18-1-oleic,nutrient-mufa-20-1,nutrient-mufa-22-1,nutrient-myricetin,nutrient-naringenin,nutrient-net-carbohydrates,nutrient-niacin-b3,nutrient-nutrition-score,nutrient-pelargonidin,nutrient-peonidin,nutrient-percent-calories-from-carbohydrates,nutrient-percent-calories-from-fat,nutrient-percent-calories-from-protein,nutrient-petunidin,nutrient-phenylalanine,nutrient-phosphorus,nutrient-polyunsaturated-fat,nutrient-potassium,nutrient-proline,nutrient-protein,nutrient-pufa-18-2-linoleic,nutrient-pufa-18-3-alpha-linolenic,nutrient-pufa-18-4,nutrient-pufa-20-4-arachidonic,nutrient-pufa-20-5-epa,nutrient-pufa-22-5-dpa,nutrient-pufa-22-6-dha,nutrient-quercetin,nutrient-retinol,nutrient-riboflavin-b2,nutrient-saturated-fat,nutrient-selenium,nutrient-serine,nutrient-sfa-10-0-capric,nutrient-sfa-12-0-lauric,nutrient-sfa-14-0-myristic,nutrient-sfa-16-0-palmitic,nutrient-sfa-18-0-stearic,nutrient-sfa-4-0-butyric,nutrient-sfa-6-0-caproic,nutrient-sfa-8-0-caprylic,nutrient-sodium,nutrient-theaflavin,nutrient-theaflavin-3-3-digallate,nutrient-theaflavin-3-gallate,nutrient-thearubigins,nutrient-theobromine,nutrient-thiamin-b1,nutrient-threonine,nutrient-total-carbohydrates,nutrient-total-fat,nutrient-total-sugars,nutrient-trans-fat,nutrient-tryptophan,nutrient-tyrosine,nutrient-valine,nutrient-vitamin-a-rae,nutrient-vitamin-b12,nutrient-vitamin-b5-pantothenic-acid,nutrient-vitamin-b6,nutrient-vitamin-c-ascorbic-acid,nutrient-vitamin-d,nutrient-vitamin-e-alpha-tocopherol,nutrient-vitamin-k-phylloquinone,nutrient-water,nutrient-zinc
ponzu sauce,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"ponzu sauce OR ponzu, sauce ponzu raw, ponzu",2026-01-13T17:27:39.327013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mirin,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"mirin rice wine, mirin raw, mirin",2026-01-13T17:29:56.424333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tzatziki,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"tzatziki sauce, tzatziki raw, tzatziki",2026-01-13T17:33:42.479120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapenade,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"tapenade, olive tapenade raw, tapenade",2026-01-13T17:34:45.531599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guacamole,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"guacamole prepared, guacamole raw, guacamole",2026-01-13T17:35:24.478161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chutney,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"chutney prepared, chutney mango raw, chutney",2026-01-13T17:37:20.892670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandy,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"brandy distilled, brandy 80 proof raw, brandy",2026-01-13T17:38:11.825760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gelato,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"gelato, gelato vanilla raw, gelato",2026-01-13T17:39:11.621625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sorbet,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"sorbet frozen, sorbet raw, sorbet",2026-01-13T17:39:58.585602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crystallized ginger,,,,,,NO_MAPPING_FOUND,semantic_mismatch,,,No semantically valid matches found after 3 attempts,3,"crystallized ginger, ginger crystallized raw, crystallized",2026-01-13T17:41:41.111462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nutritional yeast,,,,,,NO_MAPPING_FOUND,semantic_mismatch,,,No semantically valid matches found after 3 attempts,3,"nutritional yeast, yeast nutritional raw, nutritional",2026-01-13T17:42:53.893853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brewer's yeast,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"brewers yeast dried, yeast brewers raw, brewer's",2026-01-13T17:44:32.703567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlorella,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"chlorella dried, chlorella dried raw, chlorella",2026-01-13T17:45:46.254082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water chestnuts,,,,,,NO_MAPPING_FOUND,semantic_mismatch,,,No semantically valid matches found after 3 attempts,3,"water chestnuts raw, water chestnuts raw fresh, water",2026-01-13T17:46:43.428971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kalamata olives,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"olives kalamata, olives kalamata raw, kalamata",2026-01-13T17:47:53.617721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple potatoes,,,,,,NO_MAPPING_FOUND,semantic_mismatch,70,88,No semantically valid matches found after 3 attempts,3,"potatoes purple raw, potatoes purple raw fresh, purple",2026-01-13T17:49:42.951869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new potatoes,,,,,,NO_MAPPING_FOUND,semantic_mismatch,,,No semantically valid matches found after 3 attempts,3,"potatoes new raw, potatoes new raw fresh, new",2026-01-13T17:52:03.312697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blood orange,169918,"Oranges, raw, Florida",SR Legacy,,search,MID_CONFIDENCE,search_verified_mid,80,86,"MID_CONFIDENCE. Overall profile closely matches a blood orange (raw, flesh). Macros (40% weight): calories are within ~2% (45.9 vs 47 kcal) and carbs within ~2% (11.54 vs 11.75 g), while protein (-0.24 g) and fat (+0.09 g) differ modestly in absolute terms but remain very low; net strong macro alignment. Key vitamins/minerals (30%): vitamin A matches (11 mcg), vitamin D is 0 as expected, calcium is +3 mg (+7.5%), iron is -0.01 mg (near-identical), potassium is -12 mg (~-6.6%), and vitamin C is ~15% lower (45 vs 53.2 mg)—a plausible cultivar/seasonal variation for citrus. Other nutrients (30%): fiber matches exactly (2.4 g), sugars are very close (-0.21 g), saturated fat is trivially higher (+0.01 g), and sodium is not reported but typically negligible (0–2 mg) in raw oranges—functionally aligned with the 0 mg expectation. Differences observed are within typical raw orange variety variation; anthocyanin pigmentation of blood oranges doesn’t materially alter macro- or mineral content, and vitamin C can vary by growing conditions and storage.",1,oranges blood raw,2026-01-13T17:53:52.943290,0.038 g,,,,0.049 g,0.41 g,0.085 g,,,43.0 mg,192.0 kJ,,,8.4 mg,0.039 mg,116.0 µg,,0.007 g,,2.4 g,,,,,,,,,0.071 g,,,0.071 g,,0.013 g,,0.09 mg,0.019 g,,,0.017 g,129.0 µg,,,0.035 g,10.0 mg,,0.024 mg,0.015 g,0.039 g,,,,,,,,0.4 mg,,,,,,,,0.023 g,12.0 mg,0.042 g,169.0 mg,0.035 g,0.7 g,,,,,,,,,,0.04 mg,0.025 g,0.5 µg,0.024 g,,,,,,,,,,,,,,,0.1 mg,0.011 g,11.54 g,0.21 g,9.14 g,,0.007 g,0.012 g,0.03 g,11.0 µg,,0.25 mg,0.051 mg,45.0 mg,,0.18 mg,,87.14 g,0.08 mg
fresh oregano,,,,,,NO_MAPPING_FOUND,semantic_mismatch,65,55,No semantically valid matches found after 3 attempts,3,"oregano fresh, oregano fresh raw, fresh",2026-01-13T17:58:38.559158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh tarragon,,,,,,NO_MAPPING_FOUND,semantic_mismatch,60,90,No semantically valid matches found after 3 attempts,3,"tarragon fresh, tarragon fresh raw, fresh",2026-01-13T18:03:12.567521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cinnamon sticks,,,,,,NO_MAPPING_FOUND,semantic_score_too_low,60,100,Semantic score (60.0%) below 80% threshold. Nutritional similarity (100.0%) was calculated but mapping not allowed due to low semantic match.,3,"cinnamon stick OR spices cinnamon, spices cinnamon sticks raw, cinnamon",2026-01-13T18:11:49.678678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole cloves,171321,"Spices, cloves, ground",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_high,80,96,"Overall match is excellent. The USDA entry is for ground cloves; per 100 g, milling does not materially change composition versus whole cloves, so direct comparison is appropriate. Core macronutrients (high weight, 40%): calories 273.66 vs 274 are essentially identical (negligible −0.34 kcal difference); protein 5.97 g vs 5.97 g and total carbs 65.53 g vs 65.53 g are exact matches; total fat is listed as 0.04 g vs expected 13.0 g, which is a clear database anomaly—USDA simultaneously lists saturated 3.95 g, polyunsaturated 3.61 g, and monounsaturated 1.39 g (sum ≈ 8.95 g), and typical reference values for cloves are ~13 g fat/100 g. The anomaly is further evidenced by the implausible “calories_from_fat: 0.40.” Because energy, protein, carbs, fiber, and fatty-acid subtypes align with canonical cloves data, the fat field is treated as a data entry error rather than a true nutritional mismatch. Key vitamins/minerals (medium weight, 30%): calcium (632 mg), iron (11.83 mg), potassium (1020 mg), vitamin C (0.2 mg) all match exactly; vitamin A is 8 mcg vs 13 mcg (small absolute difference; both are very low and nutritionally minor in this spice); vitamin D is effectively 0 in cloves (USDA not reported, expected 0), so there is no practical discrepancy. Other nutrients (lower weight, 30%): dietary fiber 33.9 g and total sugars 2.38 g are exact matches; sodium 277 mg matches exactly; saturated fat 3.95 g matches expected, and the presence of mono/poly values supports the expected lipid profile. Considering acceptable variation (whole vs ground, minor moisture differences) and the strong concordance across nearly all nutrients—paired with the recognizably erroneous total fat field—this result is a high-confidence match to whole cloves.",1,cloves whole,2026-01-13T18:17:06.449700,0.29 g,,,,0.32 g,5.63 g,0.6 g,,,632.0 mg,1145.0 kJ,,,37.4 mg,0.368 mg,103.0 µg,,0.07 g,,33.9 g,,,,,,,,,0.56 g,,,0.28 g,,0.13 g,,11.83 mg,0.24 g,,,0.4 g,,,,0.37 g,259.0 mg,,60.127 mg,0.08 g,1.393 g,,,,,,,,1.56 mg,,,,,,,,0.23 g,104.0 mg,3.606 g,1020.0 mg,0.39 g,5.97 g,,,,,,,,,,0.22 mg,3.952 g,7.2 µg,0.24 g,,,,,,,,,277.0 mg,,,,,,0.158 mg,0.18 g,65.53 g,0.044 g,2.38 g,0.254 g,0.03 g,0.19 g,0.34 g,8.0 µg,,0.509 mg,0.391 mg,0.2 mg,,8.82 mg,141.8 µg,9.87 g,2.32 mg
smoked paprika,,,,,,NO_MAPPING_FOUND,semantic_mismatch,65,98.6,No semantically valid matches found after 3 attempts,3,"paprika smoked, spices paprika raw, smoked",2026-01-13T18:19:34.459823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kosher salt,,,,,,NO_MAPPING_FOUND,semantic_mismatch,70,99.7,No semantically valid matches found after 3 attempts,3,"salt kosher, salt kosher raw, kosher",2026-01-13T18:22:57.736716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea salt,,,,,,NO_MAPPING_FOUND,semantic_mismatch,70,100,No semantically valid matches found after 3 attempts,3,"salt sea, salt sea raw, sea",2026-01-13T18:25:07.037256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
himalayan pink salt,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"salt himalayan pink, salt himalayan pink raw, himalayan",2026-01-13T18:27:08.947627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flaky sea salt,,,,,,NO_MAPPING_FOUND,semantic_mismatch,,,No semantically valid matches found after 3 attempts,3,"salt sea flake, salt sea raw, flaky",2026-01-13T18:28:55.655677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink peppercorns,,,,,,NO_MAPPING_FOUND,semantic_mismatch,,,No semantically valid matches found after 3 attempts,3,"pepper pink, peppercorns pink raw, spice peppercorns",2026-01-13T18:29:48.144721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
szechuan peppercorns,,,,,,NO_MAPPING_FOUND,semantic_mismatch,,,No semantically valid matches found after 3 attempts,3,"szechuan peppercorn OR sichuan peppercorn OR szechuan peppercorns OR sichuan peppercorns OR zanthoxylum, spices sichuan pepper raw, spice peppercorns",2026-01-13T18:31:58.059172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chickpea pasta,,,,,,NO_MAPPING_FOUND,semantic_mismatch,,,No semantically valid matches found after 3 attempts,3,"pasta chickpea, pasta chickpea raw, chickpea",2026-01-13T18:34:08.744806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
